CODIGO_CARRERA;NOMBRE_CARRERA;UNIVERSIDAD;LUGAR_IMPARTICION;CORTE_2020;PROMEDIO_2020;N_MATRICULADOS_2020;CORTE_2021;PROMEDIO_2021;N_MATRICULADOS_2021;CORTE_2022;PROMEDIO_2022;N_MATRICULADOS_2022;CORTE_2023;PROMEDIO_2023;N_MATRICULADOS_2023;CORTE_2024;PROMEDIO_2024;N_MATRICULADOS_2024
11001;ARQUITECTURA;UNIVERSIDAD DE CHILE;SANTIAGO;637.6;669.15;237.0;651.7;679.59;240.0;652.7;683.1;241.0;728.3;770.43;229.0;741.4;781.34;204.0
11003;ACTUACION TEATRAL;UNIVERSIDAD DE CHILE;SANTIAGO;661.58;696.92;24.0;606.2;667.84;25.0;641.02;679.86;25.0;718.98;766.86;25.0;675.3;746.45;25.0
11004;DISENO TEATRAL;UNIVERSIDAD DE CHILE;SANTIAGO;605.95;650.79;23.0;600.2;646.73;15.0;601.1;630.05;21.0;627.95;707.91;25.0;589.8;698.57;24.0
11005;DISENO;UNIVERSIDAD DE CHILE;SANTIAGO;600.0;640.35;124.0;600.3;638.24;132.0;620.6;654.41;147.0;695.05;745.84;142.0;722.15;767.72;112.0
11011;ARTES VISUALES, LIC. EN ARTES CON MENCION EN;UNIVERSIDAD DE CHILE;SANTIAGO;619.7;667.56;79.0;600.05;638.88;71.0;622.25;660.52;80.0;701.9;758.81;80.0;698.15;750.11;88.0
11016;TEORIA E HISTORIA DEL ARTE, LIC. EN ARTES CON MENCION EN;UNIVERSIDAD DE CHILE;SANTIAGO;601.25;645.42;33.0;600.2;639.02;17.0;602.8;645.19;21.0;612.7;703.91;35.0;588.75;685.35;35.0
11017;TEORIA DE LA MUSICA;UNIVERSIDAD DE CHILE;SANTIAGO;668.1;699.73;18.0;608.85;668.88;19.0;637.45;684.93;18.0;667.7;722.59;20.0;621.55;724.79;19.0
11020;INGENIERIA AGRONOMICA;UNIVERSIDAD DE CHILE;SANTIAGO;600.05;633.25;112.0;600.1;624.96;67.0;600.0;657.67;72.0;603.45;675.25;128.0;643.45;713.16;145.0
11021;INGENIERIA FORESTAL;UNIVERSIDAD DE CHILE;SANTIAGO;601.15;636.75;64.0;600.1;634.01;39.0;604.95;661.06;37.0;573.9;678.25;66.0;501.75;657.25;66.0
11022;MEDICINA VETERINARIA;UNIVERSIDAD DE CHILE;SANTIAGO;631.65;658.0;173.0;624.1;650.99;181.0;621.65;664.94;179.0;725.3;764.06;178.0;740.65;784.22;179.0
11024;INGENIERIA EN RECURSOS NATURALES RENOVABLES;UNIVERSIDAD DE CHILE;SANTIAGO;659.75;696.73;67.0;611.0;665.08;74.0;636.15;686.79;76.0;635.05;717.32;68.0;621.25;722.59;73.0
11026;CONTADOR AUDITOR;UNIVERSIDAD DE CHILE;SANTIAGO;650.8;674.62;82.0;643.6;672.6;81.0;653.8;680.1;85.0;703.65;749.29;86.0;740.2;781.38;89.0
11027;INGENIERIA EN INFORMACION Y CONTROL DE GESTION;UNIVERSIDAD DE CHILE;SANTIAGO;655.4;680.24;155.0;642.3;676.11;157.0;651.1;677.51;163.0;700.9;752.29;169.0;743.75;787.42;179.0
11028;PEDAGOGIA EN ED. MEDIA EN MATEMATICA Y FISICA, LIC. EN CIENCIAS EXACTAS;UNIVERSIDAD DE CHILE;SANTIAGO;642.4;678.25;65.0;605.9;665.55;61.0;606.2;658.61;63.0;524.9;676.71;60.0;606.0;700.01;50.0
